sku,productType,canonicalGroupId,imageStatus,requestedImageStatus,mainImageAssetId,sourceStatus,published,titleEn,categoryId,materialIds,gsmOrThickness,applications
"KH-KR-KRAFT-080-RAW-001","kraft-paper","kraft-paper-kraft-paper-80g-pe-coating","representative","representative","kh-kraft-family-representative","pending","false","Single-sided Kraft Paper","kraft-paper-series","single-sided-kraft-paper","80g","包装纸、隔纸、纸袋"
"KH-KR-KRAFT-120-RAW-002","kraft-paper","kraft-paper-kraft-paper-120g-pe-coating","representative","representative","kh-kraft-family-representative","pending","false","Double-sided Kraft Paper","kraft-paper-series","double-sided-kraft-paper","120g","包装纸、纸袋、盒料"
"KH-KR-WKRAFT-150-PR-003","kraft-paper","kraft-paper-white-kraft-150g-pe-coating","representative","representative","kh-kraft-family-representative","pending","false","White Kraft Paper","kraft-paper-series","white-kraft-paper","150g","纸袋、纸盒面纸"
"KH-KR-YKRAFT-180-PR-004","kraft-paper","kraft-paper-yellow-kraft-180g-pe-coating","representative","representative","kh-kraft-family-representative","pending","false","Yellow Kraft Paper","kraft-paper-series","yellow-kraft-paper","180g","纸袋、外包装、隔板"
"KH-KR-FOODK-100-OIL-005","kraft-paper","kraft-paper-food-grade-kraft-100g-pe-coating","representative","representative","kh-kraft-family-representative","pending","false","Food Grade Kraft Paper","kraft-paper-series","food-grade-kraft-paper","100g","汉堡纸、包装纸、食品盒料"
"KH-KR-PEKRAFT-120-PE-006","kraft-paper","kraft-paper-pe-120g-pe-pe-coating-pe","representative","representative","kh-kraft-family-representative","pending","false","PE Coated Kraft Paper","kraft-paper-series","kraft-paper","120g + PE","食品包装、纸托、纸袋"
"KH-KR-OILK-80-OIL-007","kraft-paper","kraft-paper-80g-pe-coating","representative","representative","kh-kraft-family-representative","pending","false","Greaseproof Kraft Paper","kraft-paper-series","greaseproof-paper; kraft-paper","80g","汉堡纸、三明治纸、垫纸"
"KH-KR-PRKRAFT-200-PR-008","kraft-paper","kraft-paper-200g-pe-coating","representative","representative","kh-kraft-family-representative","pending","false","Printed Kraft Paper","kraft-paper-series","kraft-paper","200g","纸盒面纸、品牌包装"
"KH-KR-KCARDB-300-MC-009","paper-pad","paper-pad-kraft-cardstock-300g","representative","representative","kh-paper-pad-family-representative","pending","false","Kraft Cardstock","kraft-paper-series","kraft-cardstock","300g","纸卡、垫片、盒料"
"KH-KR-KFLUTE-250E-MT-010","paper-insert","paper-insert-250g-e-f-g-pe-coating","representative","representative","kh-paper-insert-family-representative","pending","false","Kraft Laminated Corrugated Paper","kraft-paper-series","kraft-paper; corrugated-medium","250g + E/F/G","坑盒、内托、缓冲包装"
"KH-WC-WHITE-210-PR-011","paper-pad","paper-pad-white-cardboard-210g","representative","representative","kh-paper-pad-family-representative","pending","false","White Cardboard","white-cardboard-series","white-cardboard","210g","彩盒、垫片、吊牌"
"KH-WC-FOODW-230-OIL-012","paper-pad","paper-pad-230g-greaseproof","representative","representative","kh-paper-pad-family-representative","pending","false","Food Grade White Cardboard","white-cardboard-series","food-grade-white-board","230g","食品盒、托盘、垫片"
"KH-WC-SBS1-250-PR-013","white-cardboard","white-cardboard-250g-coated","representative","representative","kh-white-cardboard-family-representative","pending","false","Single-side Coated White Board","white-cardboard-series","coated-white-board","250g","彩盒面纸、包装盒"
"KH-WC-SBS2-300-LM-014","white-cardboard","white-cardboard-300g-coated","representative","representative","kh-white-cardboard-family-representative","pending","false","Double-side Coated White Board","white-cardboard-series","coated-white-board","300g","彩盒、吊牌、卡套"
"KH-WC-BOXMAT-350-CR-015","white-cardboard","white-cardboard-350g","representative","representative","kh-white-cardboard-family-representative","pending","false","White Cardboard Box Material","white-cardboard-series","white-cardboard","350g","折叠盒、彩盒半成品"
"KH-WC-PAD-400-MC-016","paper-pad","paper-pad-400g","representative","representative","kh-paper-pad-family-representative","pending","false","White Cardboard Pad","white-cardboard-series","white-cardboard","400g","蛋糕垫片、内垫、隔板"
"KH-WC-INSERT-450-MC-017","paper-insert","paper-insert-450g","representative","representative","kh-paper-insert-family-representative","pending","false","White Cardboard Insert","white-cardboard-series","white-cardboard","450g","内托、定位托、隔板"
"KH-WC-WFLUTE-300E-MT-018","corrugated-fluted-paper","corrugated-fluted-paper-e-f-g-300g-e-f-g-pe-coating","representative","representative","kh-corrugated-family-representative","pending","false","White Cardboard Laminated Corrugated Paper","white-cardboard-series","white-cardboard; coated-white-board; single-sided-kraft-paper; fluted-paper","300g + E/F/G","坑盒、缓冲盒片"
"KH-WC-PRINTW-350-UV-019","white-cardboard","white-cardboard-350g-uv","representative","representative","kh-white-cardboard-family-representative","pending","false","Printed White Cardboard","white-cardboard-series","white-cardboard","350g","彩盒面纸、礼盒纸料"
"KH-WC-PEWHITE-300-PE-020","white-cardboard","white-cardboard-pe-300g-pe-pe-coating-pe","representative","representative","kh-white-cardboard-family-representative","pending","false","PE Coated White Cardboard","white-cardboard-series","white-cardboard","300g + PE","食品盒料、托盘纸料"
"KH-FD-FOODW-210-RAW-021","white-cardboard","white-cardboard-210g","representative","representative","kh-white-cardboard-family-representative","pending","false","Food Grade White Cardboard","food-grade-paper-series","food-grade-white-board","210g","食品盒、托盘、纸套"
"KH-FD-FOODK-120-RAW-022","kraft-paper","kraft-paper-120g-pe-coating","representative","representative","kh-kraft-family-representative","pending","false","Food Grade Kraft Paper","food-grade-paper-series","food-grade-kraft-paper","120g","汉堡纸、包装纸、纸袋"
"KH-FD-GREASE-040-OIL-023","paper-packaging-material","paper-packaging-material-40g-pe-coating","representative","representative","kh-material-family-representative","pending","false","Greaseproof Paper","food-grade-paper-series","greaseproof-paper","40g","垫纸、包纸、烘焙纸"
"KH-FD-BURGER-050-PR-024","paper-packaging-material","paper-packaging-material-50g-pe-coating","representative","representative","kh-material-family-representative","pending","false","Burger Wrapping Paper","food-grade-paper-series","food-grade-paper","50g","汉堡、三明治、炸物"
"KH-FD-SANDW-060-PR-025","paper-packaging-material","paper-packaging-material-60g-pe-coating","representative","representative","kh-material-family-representative","pending","false","Sandwich Wrapping Paper","food-grade-paper-series","food-grade-paper","60g","三明治、卷饼、面包"
"KH-FD-BAKING-070-OIL-026","paper-packaging-material","paper-packaging-material-70g-pe-coating","representative","representative","kh-material-family-representative","pending","false","Baking Paper","food-grade-paper-series","greaseproof-paper","70g","面包、蛋糕、烘焙托"
"KH-FD-CAKEPAD-230-MC-027","paper-pad","paper-pad-230g-pe-coating","representative","representative","kh-paper-pad-family-representative","pending","false","Cake Pad Paper","food-grade-paper-series","white-cardboard; food-grade-paper","230g","蛋糕垫片、食品垫板"
"KH-FD-PIZZAP-120-MC-028","corrugated-fluted-paper","corrugated-fluted-paper-120g-pe-coating","representative","representative","kh-corrugated-family-representative","pending","false","Pizza Liner Paper","food-grade-paper-series","food-grade-paper; corrugated-paper","120g","披萨盒垫纸、食品隔纸"
"KH-FD-TRAYP-250-PE-029","paper-insert","paper-insert-250g-pe-coating-pe","representative","representative","kh-paper-insert-family-representative","pending","false","Food Tray Paper","food-grade-paper-series","food-grade-white-board; kraft-paper","250g","食品托盘、纸托"
"KH-FD-BOXP-300-CR-030","white-cardboard","white-cardboard-300g-pe-coating","representative","representative","kh-white-cardboard-family-representative","pending","false","Food Box Paper Material","food-grade-paper-series","food-grade-white-board; kraft-paper","300g","食品盒、外卖盒、纸套"
"KH-CG-SFLUTE-E-RAW-031","paper-pad","paper-pad-120g-80g-pe-coating","representative","representative","kh-paper-pad-family-representative","pending","false","Single-face Corrugated Paper","corrugated-fluted-paper-series","liner-paper; corrugated-medium","120g + 80g","坑纸、内托、垫片"
"KH-CG-DFLUTE-F-RAW-032","paper-insert","paper-insert-150g-100g-pe-coating","representative","representative","kh-paper-insert-family-representative","pending","false","Double-wall Corrugated Paper","corrugated-fluted-paper-series","liner-paper; corrugated-medium; inner-liner","150g + 100g","坑盒、隔板、内托"
"KH-CG-TFLUTE-G-RAW-033","paper-insert","paper-insert-180g-100g-pe-coating","representative","representative","kh-paper-insert-family-representative","pending","false","Triple-layer Corrugated Paper","corrugated-fluted-paper-series","liner-paper; corrugated-medium; inner-liner","180g + 100g","包装盒、缓冲内托"
