sku,slug,field,issueType,currentValue,suggestedAction
"KH-KR-KRAFT-080-RAW-001","kh-kr-kraft-080-raw-001-single-sided-kraft-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-KR-KRAFT-120-RAW-002","kh-kr-kraft-120-raw-002-double-sided-kraft-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-KR-WKRAFT-150-PR-003","kh-kr-wkraft-150-pr-003-white-kraft-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-KR-YKRAFT-180-PR-004","kh-kr-ykraft-180-pr-004-yellow-kraft-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-KR-FOODK-100-OIL-005","kh-kr-foodk-100-oil-005-food-grade-kraft-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-KR-PEKRAFT-120-PE-006","kh-kr-pekraft-120-pe-006-pe-coated-kraft-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-KR-OILK-80-OIL-007","kh-kr-oilk-80-oil-007-greaseproof-kraft-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-KR-PRKRAFT-200-PR-008","kh-kr-prkraft-200-pr-008-printed-kraft-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-KR-KCARDB-300-MC-009","kh-kr-kcardb-300-mc-009-kraft-cardstock","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-KR-KFLUTE-250E-MT-010","kh-kr-kflute-250e-mt-010-kraft-laminated-corrugated-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-WC-WHITE-210-PR-011","kh-wc-white-210-pr-011-white-cardboard","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-WC-FOODW-230-OIL-012","kh-wc-foodw-230-oil-012-food-grade-white-cardboard","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-WC-SBS1-250-PR-013","kh-wc-sbs1-250-pr-013-single-side-coated-white-board","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-WC-SBS2-300-LM-014","kh-wc-sbs2-300-lm-014-double-side-coated-white-board","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-WC-BOXMAT-350-CR-015","kh-wc-boxmat-350-cr-015-white-cardboard-box-material","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-WC-PAD-400-MC-016","kh-wc-pad-400-mc-016-white-cardboard-pad","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-WC-INSERT-450-MC-017","kh-wc-insert-450-mc-017-white-cardboard-insert","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-WC-WFLUTE-300E-MT-018","kh-wc-wflute-300e-mt-018-white-cardboard-laminated-corrugated-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-WC-PRINTW-350-UV-019","kh-wc-printw-350-uv-019-printed-white-cardboard","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-WC-PEWHITE-300-PE-020","kh-wc-pewhite-300-pe-020-pe-coated-white-cardboard","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-FD-FOODW-210-RAW-021","kh-fd-foodw-210-raw-021-food-grade-white-cardboard","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-FD-FOODK-120-RAW-022","kh-fd-foodk-120-raw-022-food-grade-kraft-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-FD-GREASE-040-OIL-023","kh-fd-grease-040-oil-023-greaseproof-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-FD-BURGER-050-PR-024","kh-fd-burger-050-pr-024-burger-wrapping-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
"KH-FD-SANDW-060-PR-025","kh-fd-sandw-060-pr-025-sandwich-wrapping-paper","sourceStatus","pending-source","pending / published=false","Confirm source, specification and publication approval with the business owner."
